Date,Name,Year,Letterboxd URI,Rating
2021-12-01,Apt Pupil,1998,https://boxd.it/1YFa,2.5
2021-12-01,He Got Game,1998,https://boxd.it/1YBs,4
2021-12-01,Nine Queens,2000,https://boxd.it/1HBA,4
2021-12-01,Waking Life,2001,https://boxd.it/1Zdc,3.5
2021-12-01,Secret Window,2004,https://boxd.it/28xq,3
2021-12-01,Million Dollar Baby,2004,https://boxd.it/2bdI,4
2021-12-01,Coach Carter,2005,https://boxd.it/218e,3
2021-12-01,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a,4
2021-12-01,Predestination,2014,https://boxd.it/6bJM,3
2021-12-01,Sing Street,2016,https://boxd.it/cOo6,4
2021-12-01,The Man Who Knew Infinity,2015,https://boxd.it/bTpm,2.5
2021-12-01,Straight Outta Compton,2015,https://boxd.it/8rMc,4
2021-12-01,The Italian Job,2003,https://boxd.it/1Y86,3.5
2021-12-01,I Killed My Mother,2009,https://boxd.it/1ubO,3.5
2021-12-01,The Babadook,2014,https://boxd.it/77xu,4
2021-12-01,Gerald's Game,2017,https://boxd.it/buKa,3
2021-12-02,As the Gods Will,2014,https://boxd.it/76T0,1
2021-12-02,Death Note,2017,https://boxd.it/bOS4,0.5
2021-12-02,Up,2009,https://boxd.it/1OEc,4.5
2021-12-02,Toy Story,1995,https://boxd.it/29qA,4.5
2021-12-02,Toy Story 2,1999,https://boxd.it/29qq,4
2021-12-02,The Incredibles,2004,https://boxd.it/1XLm,4.5
2021-12-02,CODA,2021,https://boxd.it/tbf4,4.5
2021-12-04,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4.5
2021-12-04,The Green Knight,2021,https://boxd.it/kuy2,3
2021-12-06,The Humans,2021,https://boxd.it/lEQM,4
2021-12-09,Dear Evan Hansen,2021,https://boxd.it/kOP8,1
2021-12-11,King Richard,2021,https://boxd.it/mJZ2,3.5
2021-12-12,Belfast,2021,https://boxd.it/tefG,3.5
2021-12-13,The Last Duel,2021,https://boxd.it/mQbe,4.5
2021-12-15,The Harder They Fall,2021,https://boxd.it/mRCU,3
2021-12-15,Scarface,1932,https://boxd.it/29oa,4
2021-12-19,Wolfwalkers,2020,https://boxd.it/fGrC,4.5
2021-12-20,Spider-Man: Far From Home,2019,https://boxd.it/fegG,2.5
2021-12-28,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,0.5
2022-01-02,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,1.5
2022-01-03,Escape Room,2019,https://boxd.it/iYlS,1
2022-01-04,Ron's Gone Wrong,2021,https://boxd.it/hlj2,3.5
2022-01-04,West Side Story,1961,https://boxd.it/28dK,4
2022-01-05,Luca,2021,https://boxd.it/ipjC,4.5
2022-01-07,Reservoir Dogs,1992,https://boxd.it/2agc,5
2022-01-09,Sing,2016,https://boxd.it/b5EQ,2
2022-01-09,Sing 2,2021,https://boxd.it/fAnE,3
2022-01-24,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3
2022-02-07,A Hero,2021,https://boxd.it/p2zw,4
2022-02-25,Metamorphosis,1975,https://boxd.it/6aam,0.5
2022-03-25,Red Rocket,2021,https://boxd.it/sGpi,4
2022-03-25,Flee,2021,https://boxd.it/ponM,4
2022-04-12,West Side Story,2021,https://boxd.it/iwt0,4
2022-04-15,Turning Red,2022,https://boxd.it/ipkq,3
2022-04-16,Scream,2022,https://boxd.it/o0lg,3
2022-04-16,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3
2022-04-17,House of Gucci,2021,https://boxd.it/nVkC,2
2022-04-21,50/50,2011,https://boxd.it/10Tw,3.5
2022-04-22,Raging Bull,1980,https://boxd.it/28yI,4
2022-04-22,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE,2.5
2022-04-22,Wanted,2008,https://boxd.it/1ZBS,3
2022-04-22,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4
2022-04-26,Nightmare Alley,2021,https://boxd.it/m0HC,3
2022-04-28,The Great Dictator,1940,https://boxd.it/29ic,3
2022-04-29,Mr. Thank You,1936,https://boxd.it/3qAE,3.5
2022-04-30,3-Iron,2004,https://boxd.it/28WK,2.5
2022-05-01,Infernal Affairs,2002,https://boxd.it/1Vqw,4
2022-05-01,Parallel Mothers,2021,https://boxd.it/sOP4,3
2022-05-02,The Departed,2006,https://boxd.it/28MA,3.5
2022-05-04,Taxi Driver,1976,https://boxd.it/2b8y,3
2022-05-04,The Bad Guys,2022,https://boxd.it/nkg4,3.5
2022-05-08,Fargo,1996,https://boxd.it/2aHM,4
2022-05-14,Marley & Me,2008,https://boxd.it/1Ola,3
2022-05-14,Flags of Our Fathers,2006,https://boxd.it/255y,3.5
2022-05-15,Petite Maman,2021,https://boxd.it/s6je,4.5
2022-05-15,Letters from Iwo Jima,2006,https://boxd.it/290C,4.5
2022-05-16,The Big Lebowski,1998,https://boxd.it/2b6C,4
2022-05-17,The Seventh Seal,1957,https://boxd.it/2ahO,4.5
2022-05-17,One Night in Miami...,2020,https://boxd.it/oCUo,4.5
2022-05-18,A Fistful of Dollars,1964,https://boxd.it/2auo,4
2022-05-19,For a Few Dollars More,1965,https://boxd.it/29eu,3.5
2022-05-19,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4.5
2022-05-21,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,3.5
2022-05-22,The Lure,2015,https://boxd.it/d3mE,1
2022-05-23,The Last Picture Show,1971,https://boxd.it/1weg,1
2022-06-01,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3.5
2022-06-03,The Northman,2022,https://boxd.it/nK2s,4
2022-06-04,How to Train Your Dragon,2010,https://boxd.it/1WRy,4
2022-06-04,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,3.5
2022-06-05,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,3
2022-06-08,War of the Worlds,2005,https://boxd.it/2bde,3
2022-06-11,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,3.5
2022-06-11,Au Revoir les Enfants,1987,https://boxd.it/288U,3.5
2022-06-13,Homunculus,2021,https://boxd.it/rPtG,0.5
2022-06-14,The Salesman,2016,https://boxd.it/d2we,2
2022-06-22,Amores Perros,2000,https://boxd.it/2bfu,3.5
2022-06-23,Belladonna of Sadness,1973,https://boxd.it/2q,2.5
2022-06-28,Mulholland Drive,2001,https://boxd.it/297o,1.5
2022-07-02,Crimes of the Future,2022,https://boxd.it/uTuY,2.5
2022-07-04,Catch Me If You Can,2002,https://boxd.it/29VS,4
2022-07-16,The Virgin Suicides,1999,https://boxd.it/28JG,3.5
2022-07-19,Prisoners,2013,https://boxd.it/4E5i,3
2022-07-31,RRR,2022,https://boxd.it/ljDs,4.5
2022-08-04,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2022-08-14,Day Shift,2022,https://boxd.it/sn8W,3
2022-08-30,Prey,2022,https://boxd.it/sNBU,3.5
2022-09-25,Hiroshima Mon Amour,1959,https://boxd.it/22WY,4
2022-10-03,1987: When the Day Comes,2017,https://boxd.it/fwdq,3.5
2022-10-06,Happy Together,1997,https://boxd.it/1Ha0,4
2022-11-01,The Thing,1982,https://boxd.it/294O,4
2022-11-03,Argentina 1985,2022,https://boxd.it/qLxM,4.5
2022-11-08,Lola,1981,https://boxd.it/273u,3
2022-11-14,Stray Dog,1949,https://boxd.it/1ltu,3.5
2022-11-14,Pickpocket,1959,https://boxd.it/29O8,3
2022-11-24,Repulsion,1965,https://boxd.it/1TKu,2.5
2022-11-26,Don't Worry Darling,2022,https://boxd.it/mViu,1
2022-12-15,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18,3.5
2022-12-17,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,4.5
2022-12-17,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,4
2022-12-21,An Angel at My Table,1990,https://boxd.it/269G,1
2022-12-21,A Brighter Summer Day,1991,https://boxd.it/1Luy,4.5
2022-12-25,Secret Sunshine,2007,https://boxd.it/27CY,2
2022-12-27,Still Walking,2008,https://boxd.it/1wvm,4
2022-12-29,Shoplifters,2018,https://boxd.it/ifY6,4.5
2023-01-03,Broker,2022,https://boxd.it/rDUU,2
2023-01-04,Nobody Knows,2004,https://boxd.it/26E0,4
2023-01-07,The Terminal,2004,https://boxd.it/2a2O,3.5
2023-01-07,Titane,2021,https://boxd.it/nlQC,4
2023-01-07,C'mon C'mon,2021,https://boxd.it/nrI0,4
2023-01-07,American History X,1998,https://boxd.it/2bdo,3.5
